Wall time,Step,Value
1598549700.3658895,0,2.960923194885254
1598554524.3586571,1,2.3387320041656494
1598559447.9645236,2,2.196415662765503
1598564311.6904874,3,2.1123180389404297
1598569830.7345831,4,2.060554027557373
1598575570.6620445,5,1.9279391765594482
1598580079.5105178,6,1.895372986793518
1598584583.2899153,7,1.8758469820022583
1598588829.363362,8,1.8625895977020264
1598593090.9439385,9,1.8485881090164185
1598597149.283062,10,1.832621455192566
1598601190.5586452,11,1.827378511428833
1598605238.1409738,12,1.8263276815414429
1598609252.1032665,13,1.823166847229004
1598613255.7548668,14,1.822050929069519
1598617320.0315197,15,1.8191195726394653
1598621349.527565,16,1.8168761730194092
1598625368.2961216,17,1.8173036575317383
1598629332.3283346,18,1.8189586400985718
1598633305.7207987,19,1.8182092905044556
1598637204.5812778,20,1.81743323802948
1598641107.2926588,21,1.820203423500061
1598645060.4975178,22,1.8161258697509766
1598648919.4711838,23,1.8158643245697021
1598652762.8076746,24,1.8191285133361816
1598656604.7856977,25,1.8170896768569946
1598660422.188527,26,1.8173595666885376
1598664282.317737,27,1.8193343877792358
1598667919.389358,28,1.8170348405838013
1598671234.337469,29,1.8177101612091064
