Wall time,Step,Value
1604402663.205921,0,3.3105950355529785
1604406390.1830256,1,2.8432140350341797
1604410462.0023663,2,2.670750856399536
1604414450.1131208,3,2.554708957672119
1604418472.1764467,4,2.4743053913116455
1604422502.3234148,5,2.4069881439208984
1604426505.5092938,6,2.3598923683166504
1604430457.8989172,7,2.3164780139923096
1604434435.2271857,8,2.2848339080810547
1604438254.9460888,9,2.2522597312927246
1604442095.5741498,10,2.1778273582458496
1604446186.5072546,11,2.1537959575653076
1604450763.888241,12,2.1386637687683105
1604455216.5444436,13,2.1321799755096436
1604459677.1279771,14,2.124173879623413
1604464134.1189437,15,2.118581533432007
1604468272.1194108,16,2.110809087753296
1604472085.5700753,17,2.1063802242279053
1604475879.8851173,18,2.0974035263061523
1604479665.6580899,19,2.0937740802764893
1604483453.085054,20,2.084458827972412
1604487739.076304,21,2.079669237136841
1604492139.6886034,22,2.078599214553833
1604496754.476571,23,2.0781004428863525
1604501811.8543193,24,2.079437255859375
1604507027.4952776,25,2.08024263381958
1604512333.7198699,26,2.0745582580566406
1604517630.7714503,27,2.0763180255889893
1604522875.6574233,28,2.076249599456787
1604522875.6574233,29,2.076249599456787
